Device,FailureRate,ID
IIoT,2597,0
IIoT,2279,0
IIoT,1870,0
IIoT,1479,0
IIoT,1379,0
IIoT,2281,0
IIoT,1171,0
IIoT,1822,0
IIoT,2266,0
IIoT,2076,0
IIoT,1792,0
IIoT,1182,0
IIoT,2385,0
IIoT,1888,0
IIoT,1691,0
IIoT,2781,0
IIoT,2799,0
IIoT,1850,0
IIoT,2131,0
IIoT,1005,0
IIoT,2181,0
IIoT,1930,0
IIoT,1337,0
IIoT,1824,0
IIoT,2151,0
IIoT,1147,0
IIoT,1195,0
IIoT,2824,0
IIoT,1476,0
IIoT,2227,0
IIoT,1378,0
IIoT,2219,0
IIoT,1849,0
IIoT,2083,0
IIoT,2197,0
IIoT,2211,0
IIoT,1563,0
IIoT,2417,0
IIoT,1554,0
IIoT,2529,0
IIoT,2510,0
IIoT,2161,0
IIoT,1925,0
IIoT,1437,0
IIoT,2283,0
IIoT,1699,0
IIoT,2919,0
IIoT,2695,0
IIoT,1994,0
IIoT,2048,0
IIoT,1312,0
IIoT,2933,0
IIoT,1957,0
IIoT,1008,0
IIoT,2495,0
IIoT,2659,0
IIoT,2453,0
IIoT,1102,0
IIoT,2995,0
IIoT,1609,0
IIoT,2408,0
IIoT,2442,0
IIoT,2025,0
IIoT,2511,0
IIoT,1434,0
IIoT,2686,0
IIoT,1830,0
IIoT,1986,0
IIoT,1401,0
IIoT,1113,0
IIoT,2896,0
IIoT,2466,0
IIoT,2890,0
IIoT,1635,0
IIoT,1855,0
IIoT,1636,0
IIoT,1687,0
IIoT,2877,0
IIoT,2909,0
IIoT,1176,0
IIoT,1707,0
IIoT,2421,0
IIoT,1160,0
IIoT,2238,0
IIoT,2801,0
IIoT,1964,0
IIoT,1361,0
IIoT,1056,0
IIoT,2906,0
IIoT,1590,0
IIoT,1921,0
IIoT,1655,0
IIoT,1160,0
IIoT,2782,0
IIoT,1671,0
IIoT,2516,0
IIoT,2939,0
IIoT,2652,0
IIoT,2198,0
IIoT,2454,0
Edge,3589,0
Edge,3360,0
Edge,1969,0
Edge,1812,0
Edge,2948,0
Edge,1541,0
Edge,1839,0
Edge,4908,0
Edge,4584,0
Edge,3018,0
Edge,2236,0
Edge,3173,0
Edge,1316,0
Edge,1695,0
Edge,4253,0
Edge,1672,0
Edge,4751,0
Edge,4654,0
Edge,1959,0
Edge,2939,0
Edge,3339,0
Edge,3698,0
Edge,3291,0
Edge,2232,0
Edge,4271,0
Edge,4415,0
Edge,2342,0
Edge,2569,0
Edge,4400,0
Edge,3962,0
Edge,4097,0
Edge,4997,0
Edge,3788,0
Edge,4257,0
Edge,4826,0
Edge,3005,0
Edge,1393,0
Edge,3916,0
Edge,4759,0
Edge,3129,0
Edge,4840,0
Edge,3458,0
Edge,1007,0
Edge,2524,0
Edge,4699,0
Edge,4289,0
Edge,2063,0
Edge,3842,0
Edge,1048,0
Edge,4885,0
Edge,2434,0
Edge,3044,0
Edge,3952,0
Edge,4986,0
Edge,3290,0
Edge,2353,0
Edge,2272,0
Edge,4006,0
Edge,3620,0
Edge,3121,0
Edge,4310,0
Edge,3029,0
Edge,2927,0
Edge,4868,0
Edge,3948,0
Edge,3112,0
Edge,3100,0
Edge,4554,0
Edge,4655,0
Edge,2241,0
Edge,3123,0
Edge,3396,0
Edge,1669,0
Edge,2126,0
Edge,1753,0
Edge,2946,0
Edge,4066,0
Edge,1868,0
Edge,4916,0
Edge,4492,0
Edge,2754,0
Edge,3468,0
Edge,2465,0
Edge,4096,0
Edge,4381,0
Edge,1624,0
Edge,1550,0
Edge,2194,0
Edge,2911,0
Edge,3194,0
Edge,2183,0
Edge,4262,0
Edge,4099,0
Edge,2093,0
Edge,1902,0
Edge,4001,0
Edge,2366,0
Edge,4922,0
Edge,2556,0
Edge,2532,0
Cloud,7400,0
Cloud,9242,0
Cloud,1912,0
Cloud,8151,0
Cloud,2563,0
Cloud,4597,0
Cloud,8387,0
Cloud,3524,0
Cloud,8775,0
Cloud,7086,0
Cloud,1548,0
Cloud,1768,0
Cloud,3225,0
Cloud,5885,0
Cloud,6853,0
Cloud,3204,0
Cloud,4192,0
Cloud,1360,0
Cloud,3624,0
Cloud,5926,0
Cloud,8542,0
Cloud,2177,0
Cloud,7150,0
Cloud,5559,0
Cloud,9993,0
Cloud,2261,0
Cloud,5636,0
Cloud,6224,0
Cloud,8724,0
Cloud,7508,0
Cloud,5430,0
Cloud,4524,0
Cloud,9768,0
Cloud,9515,0
Cloud,9366,0
Cloud,6324,0
Cloud,1630,0
Cloud,6347,0
Cloud,7231,0
Cloud,5764,0
Cloud,1051,0
Cloud,2576,0
Cloud,2845,0
Cloud,2867,0
Cloud,1334,0
Cloud,3598,0
Cloud,5029,0
Cloud,7324,0
Cloud,9541,0
Cloud,9127,0
Cloud,6311,0
Cloud,5956,0
Cloud,8554,0
Cloud,4987,0
Cloud,1967,0
Cloud,4442,0
Cloud,4515,0
Cloud,6585,0
Cloud,1841,0
Cloud,9179,0
Cloud,2694,0
Cloud,6271,0
Cloud,7797,0
Cloud,1167,0
Cloud,7697,0
Cloud,2815,0
Cloud,1666,0
Cloud,1936,0
Cloud,5429,0
Cloud,6232,0
Cloud,6293,0
Cloud,7017,0
Cloud,4787,0
Cloud,8393,0
Cloud,7213,0
Cloud,1726,0
Cloud,8672,0
Cloud,9552,0
